Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;ARROW_PART_NUMBER;ARROW_PRICE-STOCK;AVAILABILITY;CHECK_PRICES;COPYRIGHT;DESCRIPTION;JLCPCB;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MFR_NAME;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;PACKAGE;POPULARITY;PRICE;PROD_ID;PURCHASE-URL;SNAPEDA_LINK;TP_SIGNAL_NAME;
;1;Board;Board;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT1;1;Antennas 2.45GHz ANTENNA;2450AT18B100E_ANTC3216X140N;2450AT18B100E;;;;;Top;2450AT18B100E;https://www.arrow.com/en/products/2450at18b100e/johanson-dielectrics?utm_currency=USD&region=nac;;;;Antennas 2.45GHz ANTENNA;;JOHANSON TECHNOLOGY;2450AT18B100E;;;609-2450AT18B100E;https://www.mouser.co.uk/ProductDetail/Johanson-Technology/2450AT18B100E?qs=yCnrNFeXz%252Bh5MFsFIXGZGA%3D%3D;;;;;;;;;
C1, C2, C17, C18;4;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C1-EP-DR, C24, C39;3;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;10uF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C2-EP-DR;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF/25V;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C3, C4;2;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;1pF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C5, C7, C8, C19;4;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C6, C14, C20, C21, C43;5;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C9;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;820pF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C10, C13, C22;3;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;N.C;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C11, C12;2;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100pF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C15;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;1.0uF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C16;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;47nF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C23, C27, C34, C42;4;Check availability;GRM011R60J152KE01L_2_CAPC0201X13N;0.1uF;;;;;Top;;;In Stock;https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda;;                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ;;;;Murata;;;;GRM011R60J152KE01L;0201 Murata;;None;;;https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap;;
C25, C33;2;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;22uF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
C29, C30, C31, C32, C37, C38;6;Check availability;GRM011R60J152KE01L_2_CAPC0201X13N;1uF;;;;;Top;;;In Stock;https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda;;                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ;;;;Murata;;;;GRM011R60J152KE01L;0201 Murata;;None;;;https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap;;
D2, D5, DE_PUS;3;ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123;ESP32_C6_LIBRARY_5_SOD3716X135N;MBR0530;;;;;Top;;;In Stock;https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda;; Diode Schottky 30 V 500mA Surface Mount SOD-123 ;;;;ON Semiconductor;;;;MBR0530;SOD-123-2 ON Semiconductor;;None;;https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None;https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap;;
D3;1;Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23;ESP32_C6_LIBRARY_3_SOT95P280X145-6N;USBLC6-2SC6Y;;;;;Top;;;In Stock;https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda;; 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ;;;;STMicroelectronics;;;;USBLC6-2SC6Y;SOT-23-6 STMicroelectronics;;None;;;https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap;;
EPD_C1, EPD_C2, EPD_C6, EPD_C7, EPD_C8, EPD_C9, EPD_C10, EPD_C11, EPD_C12;9;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;1uF/50V;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
EPD_C5;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;0.1uF/50V;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
IC1;1;Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1);BQ25180YBGR_BGA8C40P2X4_100X155X50;BQ25180YBGR;;;;;Top;BQ25180YBGR;https://www.arrow.com/en/products/bq25180ybgr/texas-instruments?utm_currency=USD&region=nac;;;;Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1);;Texas Instruments;BQ25180YBGR;;;595-BQ25180YBGR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ25180YBGR?qs=doiCPypUmgEWjAK%252BJAX6Tw%3D%3D;;;;;;;;;
IC2;1;Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture;DRV2605YZFR_BGA9C50P3X3_144X144X62;DRV2605YZFR;;;;;Top;DRV2605YZFR;https://www.arrow.com/en/products/drv2605yzfr/texas-instruments?region=nac;;;;Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture;;Texas Instruments;DRV2605YZFR;;;;;;;;;;;;;
